species,stressor,vuln,iucn_sid,src,map_f
arctocephalus pusillus,entanglement_macroplastic,0.32584,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,entanglement_macroplastic,0.32584,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,invasive_species,0.70455,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,invasive_species,0.70455,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,invasive_species,0.70455,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,light_pollution,0.64913,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,light_pollution,0.64913,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,light_pollution,0.64913,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,marine_heat_waves,0.27889,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,marine_heat_waves,0.27889,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,marine_heat_waves,0.27889,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,noise_pollution,0.50549,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,noise_pollution,0.50549,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,noise_pollution,0.50549,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,oceanographic,0,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,oceanographic,0,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,oceanographic,0,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,organic_pollution,0.36835,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,organic_pollution,0.36835,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,organic_pollution,0.36835,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,plastic_pollution_microplastic,0.06843,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,plastic_pollution_microplastic,0.06843,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,plastic_pollution_microplastic,0.06843,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,poisons_toxins,0.05353,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,poisons_toxins,0.05353,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,poisons_toxins,0.05353,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,salinity,0,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,salinity,0,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,salinity,0,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sedimentation,0.28159,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,sedimentation,0.28159,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sedimentation,0.28159,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sea_level_rise,0.21679,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,sea_level_rise,0.21679,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sea_level_rise,0.21679,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sst_rise,0.7587,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,sst_rise,0.7587,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,sst_rise,0.7587,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,storm_disturbance,0.28216,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,storm_disturbance,0.28216,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,storm_disturbance,0.28216,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,wildlife_strike,0.59143,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,wildlife_strike,0.59143,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,wildlife_strike,0.59143,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus tropicalis,air_temp,0.37187,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,biomass_removal,0.7587,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,bycatch,0.60878,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,entanglement_macroplastic,0.32584,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,eutrophication_nutrient_pollution,0.1057,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,habitat_loss_degradation,0.44752,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,inorganic_pollution,0.32202,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,invasive_species,0.70455,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,light_pollution,0.64913,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,marine_heat_waves,0.24337,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,noise_pollution,0.50549,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,oceanographic,0,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,organic_pollution,0.40485,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,plastic_pollution_microplastic,0.06843,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,poisons_toxins,0.05353,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,salinity,0,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,sedimentation,0.28159,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,sea_level_rise,0.21679,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,sst_rise,0.7587,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,storm_disturbance,0.28216,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
arctocephalus tropicalis,wildlife_strike,0.59143,2062,iucn,species_ranges/iucn_spp_mol_2062.csv
